iter	RMSE
0	13.87455441
1	12.97263015
2	12.14426778
3	11.50762485
4	10.8846529
5	10.33701163
6	9.870499542
7	9.464577106
8	9.055435013
9	8.648565091
10	8.299786585
11	7.964677599
12	7.657577932
13	7.403070189
14	7.191395783
15	6.993294147
16	6.829273953
17	6.671893504
18	6.532601207
19	6.409921775
20	6.279525986
21	6.176504089
22	6.083467956
23	5.991036906
24	5.904756015
25	5.83486412
26	5.771558928
27	5.719285801
28	5.667709808
29	5.623446518
30	5.583352097
31	5.538406903
32	5.513953196
33	5.475888103
34	5.437513121
35	5.416876257
36	5.386448285
37	5.365958037
38	5.337705518
39	5.315754512
40	5.291548907
41	5.276519649
42	5.262337751
43	5.24584753
44	5.229276907
45	5.217843637
46	5.202083341
47	5.188222388
48	5.174169779
49	5.157211698
50	5.147755951
51	5.135655721
52	5.125911731
53	5.107127149
54	5.096468024
55	5.079195233
56	5.070253895
57	5.0650654
58	5.048074782
59	5.033776979
60	5.028156444
61	5.014192632
62	5.008262832
63	4.998906829
64	4.989989138
65	4.97577586
66	4.967398315
67	4.954425268
68	4.947952379
69	4.940826928
70	4.933462213
71	4.927054102
72	4.918981719
73	4.903835962
74	4.898438572
75	4.889939261
76	4.884373984
77	4.873002928
78	4.862105575
79	4.85039011
80	4.840177497
81	4.833451929
82	4.813610925
83	4.805210655
84	4.792496875
85	4.785538717
86	4.774592994
87	4.763420663
88	4.747422559
89	4.743265153
90	4.729061774
91	4.72489521
92	4.721013296
93	4.708842105
94	4.706084743
95	4.69709869
96	4.685337046
97	4.673948757
98	4.666768017
99	4.65962484
