iter	Passed	Remaining
0	0	42
1	0	44
2	1	41
3	1	38
4	1	37
5	2	38
6	2	36
7	3	36
8	3	36
9	4	36
10	4	36
11	4	36
12	5	36
13	5	36
14	6	35
15	6	35
16	7	34
17	7	34
18	7	33
19	8	33
20	8	32
21	9	32
22	9	31
23	9	31
24	10	31
25	10	30
26	11	30
27	11	30
28	12	29
29	12	29
30	13	28
31	13	28
32	13	27
33	14	27
34	14	27
35	14	26
36	15	26
37	15	25
38	16	25
39	16	25
40	17	24
41	17	24
42	18	23
43	18	23
44	18	22
45	19	22
46	19	22
47	20	21
48	20	21
49	20	20
50	21	20
51	21	20
52	22	19
53	22	19
54	22	18
55	23	18
56	23	17
57	24	17
58	24	17
59	25	16
60	25	16
61	25	15
62	26	15
63	26	14
64	26	14
65	27	14
66	27	13
67	28	13
68	28	12
69	28	12
70	29	11
71	29	11
72	30	11
73	30	10
74	30	10
75	31	9
76	31	9
77	31	8
78	32	8
79	32	8
80	33	7
81	33	7
82	34	6
83	34	6
84	34	6
85	35	5
86	35	5
87	35	4
88	36	4
89	36	4
90	37	3
91	37	3
92	37	2
93	38	2
94	38	2
95	39	1
96	39	1
97	40	0
98	40	0
99	40	0
