iter	Passed	Remaining
0	48	48517
1	49	24467
2	49	16448
3	49	12427
4	50	10017
5	50	8407
6	51	7256
7	51	6396
8	52	5727
9	52	5189
10	52	4749
11	53	4382
12	53	4072
13	54	3805
14	54	3577
15	54	3376
16	55	3201
17	55	3047
18	56	2907
19	56	2782
20	57	2668
21	57	2565
22	58	2470
23	58	2383
24	59	2303
25	59	2229
26	59	2160
27	60	2097
28	60	2037
29	61	1983
30	61	1932
31	62	1885
32	62	1839
33	63	1798
34	63	1758
35	64	1720
36	64	1684
37	65	1650
38	65	1618
39	66	1587
40	66	1557
41	67	1529
42	67	1502
43	67	1476
44	68	1452
45	68	1429
46	69	1406
47	69	1384
48	70	1364
49	70	1343
50	71	1325
51	71	1306
52	72	1289
53	72	1271
54	73	1255
55	73	1239
56	73	1223
57	74	1209
58	74	1195
59	75	1181
60	75	1168
61	76	1154
62	76	1141
63	77	1130
64	77	1118
65	78	1107
66	78	1096
67	79	1084
68	79	1074
69	80	1064
70	80	1053
71	81	1051
72	82	1042
73	82	1032
74	82	1023
75	83	1014
76	83	1005
77	84	997
78	84	988
79	85	980
80	85	972
81	86	964
82	86	954
83	86	947
84	87	940
85	87	933
86	88	926
87	88	919
88	89	912
89	89	905
90	90	899
91	90	892
92	90	886
93	91	880
94	91	875
95	92	869
96	92	863
97	93	858
98	93	852
99	94	847
100	94	841
101	95	836
102	95	831
103	95	826
104	96	822
105	96	817
106	97	812
107	97	807
108	98	803
109	98	798
110	99	794
111	99	789
112	100	785
113	100	781
114	100	777
115	101	773
116	101	768
117	102	764
118	102	760
119	103	756
120	103	752
121	104	748
122	104	745
123	104	741
124	105	738
125	105	734
126	106	730
127	106	727
128	107	724
129	107	721
130	108	718
131	108	714
132	109	711
133	109	708
134	110	705
135	110	701
136	110	698
137	111	695
138	111	693
139	112	689
140	112	687
141	113	683
142	113	680
143	113	677
144	114	674
145	114	672
146	115	669
147	115	666
148	116	663
149	116	661
150	117	658
151	117	656
152	118	653
153	118	651
154	118	648
155	119	646
156	119	643
157	120	641
158	120	638
159	121	636
160	121	634
161	122	632
162	122	629
163	123	627
164	123	624
165	123	622
166	124	620
167	124	618
168	125	616
169	125	613
170	126	611
171	126	609
172	127	607
173	127	605
174	128	603
175	128	601
176	128	599
177	129	597
178	129	595
179	130	593
180	130	591
181	131	590
182	131	588
183	132	586
184	132	584
185	133	582
186	133	580
187	133	578
188	134	576
189	134	575
190	135	573
191	135	571
192	136	570
193	136	568
194	137	566
195	137	565
196	138	563
197	138	561
198	139	560
199	139	558
200	140	557
201	140	555
202	141	553
203	141	552
204	142	550
205	142	549
206	142	547
207	143	546
208	143	544
209	144	542
210	144	540
211	145	539
212	145	537
213	145	535
214	146	534
215	146	532
216	147	530
217	147	529
218	147	527
219	148	525
220	148	524
221	149	522
222	149	520
223	149	519
224	150	517
225	150	516
226	151	514
227	151	513
228	151	511
229	152	509
230	152	508
231	153	506
232	153	505
233	153	503
234	154	502
235	154	500
236	155	499
237	155	497
238	155	496
239	156	494
240	156	493
241	156	491
242	157	490
243	157	488
244	158	487
245	158	486
246	158	484
247	159	483
248	159	481
249	160	480
250	160	479
251	160	477
252	161	476
253	161	474
254	162	473
255	162	472
256	163	471
257	163	470
258	164	469
259	164	468
260	164	467
261	165	465
262	165	464
263	166	463
264	166	462
265	166	460
266	167	460
267	168	459
268	168	458
269	169	457
270	169	456
271	170	455
272	170	454
273	171	454
274	171	453
275	172	452
276	172	451
277	173	450
278	174	449
279	174	448
280	175	447
281	175	447
282	176	446
283	176	444
